episode,timestep,reward
1,20,-0.6671
3,40,-0.6709
5,60,-0.7367
7,80,-0.6904
9,100,-0.7022
11,120,-0.6698
13,140,-0.7364
15,160,-0.7269
17,180,-0.759
19,200,-0.848
21,220,-0.6809
23,240,-0.7374
25,260,-0.7589
27,280,-0.7916
29,300,-0.7348
31,320,-0.746
33,340,-0.7809
35,360,-0.6549
37,380,-0.7007
39,400,-0.6009
41,420,-0.5484
43,440,-0.6373
45,460,-0.6386
47,480,-0.5674
49,500,-0.4538
51,520,-0.534
53,540,-0.5361
55,560,-0.6723
57,580,-0.4931
59,600,-0.4538
61,620,-0.3514
63,640,-0.5624
65,660,-0.4807
67,680,-0.5837
69,700,-0.5062
71,720,-0.3001
73,740,-0.4571
75,760,-0.5515
77,780,-0.3259
79,800,-0.573
81,820,-0.3298
83,840,-0.4579
85,860,-0.2302
87,880,-0.3288
89,900,-0.4005
91,920,-0.3005
93,940,-0.2506
95,960,-0.3006
97,980,-0.4256
99,1000,-0.4913
101,1020,-0.4161
103,1040,-0.3282
105,1060,-0.4096
107,1080,-0.3601
109,1100,-0.3254
111,1120,-0.3504
113,1140,-0.4739
115,1160,-0.2551
117,1180,-0.3807
119,1200,-0.2771
121,1220,-0.2587
123,1240,-0.2784
125,1260,-0.2535
127,1280,-0.2367
129,1300,-0.2122
131,1320,-0.2793
133,1340,-0.2554
135,1360,-0.157
137,1380,-0.2551
139,1400,-0.1346
141,1420,-0.2143
143,1440,-0.2504
145,1460,-0.2002
147,1480,-0.1602
149,1500,-0.2308
151,1520,-0.2561
153,1540,-0.1778
155,1560,-0.3251
157,1580,-0.1587
159,1600,-0.2826
161,1620,-0.3082
163,1640,-0.2326
165,1660,-0.1055
167,1680,-0.3046
169,1700,-0.1295
171,1720,-0.1157
173,1740,-0.2089
175,1760,-0.1231
177,1780,-0.2517
179,1800,-0.1628
181,1820,-0.134
183,1840,-0.3293
185,1860,-0.1866
187,1880,-0.3001
189,1900,-0.2049
191,1920,-0.217
193,1940,-0.187
195,1960,-0.2099
197,1980,-0.3292
199,2000,-0.2296
201,2020,-0.0674
203,2040,-0.2557
205,2060,-0.0919
207,2080,-0.2795
209,2100,-0.1848
211,2120,-0.2253
213,2140,-0.2119
215,2160,-0.2368
217,2180,-0.2029
219,2200,-0.0993
221,2220,-0.3571
223,2240,-0.2098
225,2260,-0.1177
227,2280,-0.2325
229,2300,-0.3016
231,2320,-0.2084
233,2340,-0.2061
235,2360,-0.2869
237,2380,-0.1811
239,2400,-0.228
241,2420,-0.2045
243,2440,-0.2649
245,2460,-0.2052
247,2480,-0.1813
249,2500,-0.2064
251,2520,-0.064
253,2540,-0.2648
255,2560,-0.2815
257,2580,-0.3041
259,2600,-0.2376
261,2620,-0.2573
263,2640,-0.2218
265,2660,-0.3575
267,2680,-0.286
269,2700,-0.2022
271,2720,-0.3354
273,2740,-0.3283
275,2760,-0.1796
277,2780,-0.2313
279,2800,-0.2138
281,2820,-0.2854
283,2840,-0.231
285,2860,-0.1647
287,2880,-0.2112
289,2900,-0.2288
291,2920,-0.0907
293,2940,-0.3013
295,2960,-0.2054
297,2980,-0.1764
299,3000,-0.1552
301,3020,-0.1916
303,3040,-0.1653
305,3060,-0.2859
307,3080,-0.2148
309,3100,-0.2155
311,3120,-0.331
313,3140,-0.1889
315,3160,-0.3257
317,3180,-0.3089
319,3200,-0.2161
321,3220,-0.1016
323,3240,-0.1304
325,3260,-0.2654
327,3280,-0.255
329,3300,-0.2123
331,3320,-0.3054
333,3340,-0.3251
335,3360,-0.1311
337,3380,-0.14
339,3400,-0.1468
341,3420,-0.2021
343,3440,-0.2285
345,3460,-0.2782
347,3480,-0.1415
349,3500,-0.3018
351,3520,-0.3268
353,3540,-0.1551
355,3560,-0.2542
357,3580,-0.3801
359,3600,-0.1665
361,3620,-0.2315
363,3640,-0.2124
365,3660,-0.0963
367,3680,-0.159
369,3700,-0.205
371,3720,-0.1858
373,3740,-0.407
375,3760,-0.1165
377,3780,-0.1897
379,3800,-0.3259
381,3820,-0.184
383,3840,-0.2836
385,3860,-0.3055
387,3880,-0.3251
389,3900,-0.276
391,3920,-0.1433
393,3940,-0.1198
395,3960,-0.2024
397,3980,-0.1856
399,4000,-0.2045
401,4020,-0.1692
403,4040,-0.238
405,4060,-0.2587
407,4080,-0.0937
409,4100,-0.3045
411,4120,-0.3264
413,4140,-0.4071
415,4160,-0.0681
417,4180,-0.1308
419,4200,-0.1214
421,4220,-0.2503
423,4240,-0.2094
425,4260,-0.2116
427,4280,-0.2153
429,4300,-0.2063
431,4320,-0.2079
433,4340,-0.2615
435,4360,-0.1828
437,4380,-0.2047
439,4400,-0.2093
441,4420,-0.18
443,4440,-0.1319
445,4460,-0.2325
447,4480,-0.2085
449,4500,-0.2511
